Performance,Attempt
0.747000007629395,first
0.5579999923706049,first
0.722999992370605,first
0.55,first
0.91,first
0.560999984741211,first
0.753999996185303,first
0.619000015258789,first
0.63,first
0.587999992370605,first
0.6829999923706049,first
0.6590000152587889,first
0.640999984741211,first
0.52,first
0.76,first
0.510999984741211,first
0.610999984741211,first
0.560999984741211,first
0.5800000000000001,first
0.9590000009536743,first
0.619000015258789,first
0.532999992370605,first
0.75,first
0.686000003814697,first
0.6009999847412111,first
0.502999992370605,first
0.6009999847412111,first
0.747000007629395,first
0.6070000076293951,first
0.62,first
0.6699999999999999,first
0.620999984741211,first
0.507000007629395,first
0.647999992370605,first
0.8,first
0.55,first
0.62,first
0.6499999999999999,first
0.635,first
0.6009999847412111,first
0.59,first
0.686000003814697,first
0.721000003814697,first
0.7,first
0.609000015258789,first
0.53,first
0.5379999923706049,first
0.59,first
0.52,first
0.5700000000000001,first
0.595,first
0.682000007629395,first
0.51,first
0.9979999999701977,first
0.75,first
0.64,first
0.509000015258789,first
0.6799999999999999,first
0.592000007629395,first
0.78,first
0.665,first
0.74,first
0.657000007629395,first
0.650999984741211,first
0.6690000152587889,first
0.702000007629395,first
0.797000007629395,first
0.517000007629395,first
0.604000015258789,first
0.6599999999999999,first
0.637000007629395,first
0.61,first
0.609000015258789,first
0.5449999999999999,first
0.5549999999999999,first
0.56,first
0.7,first
0.594000015258789,first
0.7079999923706051,first
0.51,first
0.56,first
0.605,first
0.5449999999999999,first
0.51,first
0.582999992370605,first
0.637000007629395,first
0.577999992370605,first
0.75,first
0.642000007629395,first
0.594000015258789,first
0.69,first
0.721000003814697,first
0.607999992370605,first
0.687000007629395,first
0.527000007629395,first
0.595999984741211,first
0.627000007629395,first
0.62,first
0.505999984741211,first
0.5629999923706049,first
0.6699999999999999,first
0.6070000076293951,first
0.627000007629395,first
0.625999984741211,first
0.81,first
0.71,first
0.654000015258789,first
0.701000003814697,first
0.647000007629395,first
0.53,first
0.6,first
0.898000001907349,first
0.5549999999999999,first
0.640999984741211,first
0.63,first
0.687000007629395,first
0.55,first
0.61,first
0.510999984741211,first
0.6950000000000001,first
0.72,first
0.664000015258789,first
0.52,first
0.5179999923706049,first
0.584000015258789,first
0.54,first
0.87,first
0.9,first
0.52,first
0.5379999923706049,first
0.664000015258789,first
0.645999984741211,first
0.5590000152587891,first
0.5770000076293951,first
0.81,first
0.63,first
0.675999984741211,first
0.84,first
0.6499999999999999,first
0.5240000152587889,first
0.732999992370605,first
0.59,first
0.6599999999999999,first
0.72,first
0.585,first
0.675999984741211,first
0.569000015258789,first
0.557000007629395,first
0.52,first
0.5520000076293949,first
0.64,first
0.529000015258789,first
0.6599999999999999,first
0.542999992370605,first
0.664000015258789,first
0.85,first
0.8020000076293949,first
0.6599999999999999,first
0.595,first
0.505,first
0.617000007629395,first
0.51,first
0.634000015258789,first
0.63,first
0.602000007629395,first
0.6699999999999999,first
0.79,first
0.6799999999999999,first
0.6390000152587889,first
0.6499999999999999,first
0.522999992370605,first
0.570999984741211,first
0.722999992370605,first
0.5970000076293951,first
0.6499999999999999,first
0.6690000152587889,first
0.5590000152587891,first
0.645999984741211,first
0.56,first
0.5590000152587891,first
0.6599999999999999,first
0.6729999923706049,first
0.55,first
0.6499999999999999,first
0.575,first
0.6599999999999999,first
0.8,first
0.592000007629395,first
0.620999984741211,first
0.54,first
0.63,first
0.88,first
0.5770000076293951,first
0.5449999999999999,first
0.509000015258789,first
0.6229999923706049,first
0.5249999999999999,first
0.99,first
0.71,first
0.6709999847412109,first
0.6009999847412111,first
0.79,first
0.682000007629395,first
0.617999992370605,first
0.703999996185303,first
0.594000015258789,first
0.622000007629395,first
0.572000007629395,first
0.532000007629395,first
0.584000015258789,first
0.542999992370605,first
0.5909999847412111,first
0.61,first
0.78,first
0.6390000152587889,first
0.5870000076293951,first
0.79,first
0.86,first
0.87,first
0.585,first
0.6390000152587889,first
0.7,first
0.585999984741211,first
0.675999984741211,first
0.69,first
0.55,first
0.64,first
0.83,first
0.61,first
0.702999992370605,first
0.59,first
0.607999992370605,first
0.630999984741211,first
0.796000003814697,first
0.542000007629395,first
0.73,first
0.647999992370605,first
0.519000015258789,first
0.71,first
0.817999992370605,first
0.630999984741211,first
0.687999992370605,first
0.723999996185303,first
0.675,first
0.674000015258789,first
0.76,first
0.617000007629395,first
0.712000007629395,first
0.5659999847412109,first
0.5459999847412109,first
0.69,first
0.763999996185303,first
0.69,first
0.525999984741211,first
0.6979999923706051,first
0.688999996185303,first
0.6629999923706049,first
0.758999996185303,first
0.935,first
0.6499999999999999,first
0.688999996185303,first
0.748999996185303,first
0.696000003814697,first
0.6499999999999999,first
0.605,first
0.9770000004768372,first
0.570999984741211,first
0.88,first
0.5449999999999999,first
0.69,first
0.554000015258789,first
0.6,first
0.74,first
0.712000007629395,first
0.607999992370605,first
0.742000007629395,first
0.55,first
0.570999984741211,first
0.681000003814697,first
0.557000007629395,first
0.579000015258789,first
0.71,first
0.7089999961853031,first
0.6599999999999999,first
0.575,first
0.6599999999999999,first
0.582999992370605,first
0.522999992370605,first
0.592999992370605,first
0.5520000076293949,first
0.665999984741211,first
0.6329999923706049,first
0.54,first
0.532999992370605,first
